Particle_1,Particle_2,Particle_3,Particle_4,Particle_5,Particle_6,Particle_7,Particle_8,Particle_9,Particle_10,Particle_11,Particle_12,Particle_13,Particle_14
3.557299411243486e-05,3.4297611646449045e-05,5.440572365594311e-05,2.487817009802884e-05,4.053123923899568e-05,2.607206599256972e-05,3.451762555239109e-05,4.352066125387511e-05,3.4688488974015606e-05,4.002622799804451e-05,3.614584948121465e-05,4.661948055322855e-05,7.382528116912992e-05,3.0807549615530616e-05
3.6821949714574e-05,3.68936362414946e-05,5.791614688513964e-05,4.6149746142697285e-05,4.1138605922907685e-05,3.8192861362908174e-05,3.768478707711196e-05,3.5071038165159553e-05,3.8905773779742206e-05,3.1333185412180915e-05,3.0568687883022146e-05,3.875337550112852e-05,3.365969680324295e-05,4.057025294838328e-05
4.000816224080894e-05,3.71177770115376e-05,2.6954195296575058e-05,3.022309188501059e-05,3.742644774207818e-05,4.136467151622382e-05,3.9351150566486494e-05,4.561644891282414e-05,3.369899681501482e-05,3.6838387512663616e-05,3.664309254617365e-05,2.566814314111812e-05,3.415696923582511e-05,2.667856664318535e-05
3.139199213017916e-05,5.988710466275507e-05,3.0987089535209453e-05,3.2274034682224774e-05,3.40028159889264e-05,4.019938821517671e-05,2.8322445803694488e-05,3.509042300017747e-05,2.8728148315156448e-05,4.224663070520774e-05,3.513389417391703e-05,1.7376268196363316e-05,3.668559235061261e-05,4.006909798077746e-05
2.7270362251328585e-05,4.08252912200826e-05,3.623671348590913e-05,3.089579120846096e-05,3.744737715120137e-05,3.185927655583188e-05,3.4806849635338815e-05,3.54850915040948e-05,3.835198781248352e-05,3.748634975144307e-05,3.787217817725689e-05,3.853895894715183e-05,3.405459518281612e-05,2.115557947752789e-05
3.783961627704255e-05,2.499261898020546e-05,3.0684014604993714e-05,3.2004178622187286e-05,3.2788588216656364e-05,3.091520289361554e-05,3.963576068750278e-05,3.904849146148129e-05,3.945654504290028e-05,4.6513317317124894e-05,3.91289028473196e-05,3.033789709857304e-05,2.472653833853457e-05,3.433691307471175e-05
3.3518916200614474e-05,3.2794073688573565e-05,3.825211666257624e-05,3.1120075673675896e-05,3.759097082188148e-05,3.9356331348662986e-05,4.150619633672657e-05,1.884818829296921e-05,3.9286224660244384e-05,3.6802731435677547e-05,2.7771228701577515e-05,4.2207728110784885e-05,3.770541817456443e-05,3.3368792938380595e-05
3.877834014841192e-05,3.554996419080321e-05,3.4879701141888813e-05,3.7031377568425e-05,3.2402801712526985e-05,3.704516056215795e-05,3.081036571035605e-05,3.812474449796228e-05,3.746887433669057e-05,2.3107707006251176e-05,3.783348954806493e-05,3.0270241429599453e-05,4.630920233235683e-05,1.604290586515158e-05
4.0862730223359606e-05,3.282820386997533e-05,4.4066382358646136e-05,3.1511037434165404e-05,3.748826710329219e-05,3.85864211717448e-05,3.593154657071325e-05,2.978887430093667e-05,3.844342325579806e-05,4.16686630540543e-05,2.511571537086533e-05,4.407733024046376e-05,3.382575653513073e-05,1.6830049554370986e-05
4.692201514568888e-05,4.079821930561112e-05,3.35126683281046e-05,3.781793623294715e-05,3.5049967446434056e-05,2.799142955960605e-05,3.91678150501934e-05,3.826240196257685e-05,3.939146573928002e-05,3.259935395333175e-05,3.689420903939996e-05,4.553501185776232e-05,3.242974061767702e-05,3.3040351630720474e-05
3.588594292507058e-05,3.3541432095863385e-05,3.914716516103919e-05,3.4014278197174576e-05,1.6598705609026035e-05,3.914038468736297e-05,4.707318064100418e-05,3.832214984840819e-05,3.494857721124541e-05,3.773068788102076e-05,4.0296328385619785e-05,7.706718053647775e-05,3.663142315805113e-05,3.2221169450058045e-05
7.262061973748735e-05,4.285614907654514e-05,2.912204801798909e-05,3.63923087724095e-05,3.385787419306292e-05,3.610048460174968e-05,3.8776807009066976e-05,3.8395759042928494e-05,2.441712398783531e-05,3.0576592087942165e-05,3.738133210427459e-05,3.984520504012643e-05,3.875171499026544e-05,3.762999775207603e-05
3.644136873842234e-05,3.720938992427365e-05,3.819364864004646e-05,3.415774667573226e-05,2.3153512754479247e-05,3.663153079409091e-05,3.083152278331151e-05,2.890290449612272e-05,2.0528498048646786e-05,3.236417592276361e-05,3.889131279996604e-05,1.6208862807026537e-05,2.920770090020328e-05,2.5534717632443253e-05
3.759453866374149e-05,3.74994463003185e-05,3.061139606547213e-05,4.672071558728376e-05,3.35934466747763e-05,6.76661651370072e-05,3.875108655745929e-05,3.682176707126002e-05,4.9657116846149546e-05,3.7502098589291984e-05,3.0819301518468394e-05,3.298878853712597e-05,3.632819543721776e-05,3.535236451190847e-05
