Particle_1,Particle_2,Particle_3,Particle_4,Particle_5,Particle_6,Particle_7,Particle_8,Particle_9,Particle_10,Particle_11,Particle_12,Particle_13,Particle_14,Average,STD
2.251007355362212e-05,2.023007782371251e-05,2.1449202573830764e-05,2.0153562072805517e-05,1.9025397115436524e-05,2.765805397236632e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,2.05885126363888e-05,2.079424408990571e-05,1.9388920227793195e-05,3.5571011348513734e-06
2.251007355362212e-05,2.023007782371251e-05,2.1449202573830764e-05,2.0153562072805517e-05,1.9025397115436524e-05,2.765805397236632e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,2.05885126363888e-05,2.079424408990571e-05,1.9388920227793195e-05,3.5571011348513734e-06
2.251007355362212e-05,2.023007782371251e-05,2.1449202573830764e-05,2.0153562072805517e-05,1.9025397115436524e-05,2.765805397236632e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,2.05885126363888e-05,2.079424408990571e-05,1.9388920227793195e-05,3.5571011348513734e-06
2.251007355362212e-05,2.023007782371251e-05,2.1449202573830764e-05,2.0153562072805517e-05,1.9025397115436524e-05,2.765805397236632e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,2.05885126363888e-05,2.079424408990571e-05,1.9388920227793195e-05,3.5571011348513734e-06
2.251007355362212e-05,2.023007782371251e-05,2.1449202573830764e-05,2.0153562072805517e-05,1.9025397115436524e-05,1.8785894480498043e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,2.05885126363888e-05,2.079424408990571e-05,1.8755194549802604e-05,2.7190348950486495e-06
2.251007355362212e-05,2.023007782371251e-05,2.1449202573830764e-05,2.0153562072805517e-05,1.9025397115436524e-05,1.8785894480498043e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,2.05885126363888e-05,2.079424408990571e-05,1.8755194549802604e-05,2.7190348950486495e-06
2.251007355362212e-05,2.023007782371251e-05,2.1449202573830764e-05,2.0153562072805517e-05,1.9025397115436524e-05,1.8785894480498043e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,2.05885126363888e-05,2.079424408990571e-05,1.8755194549802604e-05,2.7190348950486495e-06
2.251007355362212e-05,2.023007782371251e-05,2.1449202573830764e-05,2.0153562072805517e-05,1.225439314090627e-05,1.8785894480498043e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,2.05885126363888e-05,2.079424408990571e-05,1.8271551408764726e-05,3.189455512735932e-06
2.251007355362212e-05,2.023007782371251e-05,2.1449202573830764e-05,2.0153562072805517e-05,1.225439314090627e-05,1.8785894480498043e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,2.05885126363888e-05,2.079424408990571e-05,1.8271551408764726e-05,3.189455512735932e-06
2.251007355362212e-05,2.023007782371251e-05,2.1449202573830764e-05,2.0153562072805517e-05,1.225439314090627e-05,1.8785894480498043e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,2.05885126363888e-05,2.079424408990571e-05,1.8271551408764726e-05,3.189455512735932e-06
